,Signal,TimeStamp,Data
0,E4_Gsr,1460658456.89,1.062112
1,E4_Gsr,1460658457.14,1.056989
2,E4_Gsr,1460658457.39,1.063393
3,E4_Gsr,1460658457.64,1.069796
4,E4_Gsr,1460658457.89,1.07492
5,E4_Gsr,1460658458.14,1.082604
6,E4_Gsr,1460658458.39,1.083885
7,E4_Gsr,1460658458.64,1.083885
8,E4_Gsr,1460658458.89,1.078762
9,E4_Gsr,1460658459.14,1.07492
10,E4_Gsr,1460658459.39,1.071077
11,E4_Gsr,1460658459.64,1.069796
12,E4_Gsr,1460658459.89,1.065954
13,E4_Gsr,1460658460.14,1.050585
14,E4_Gsr,1460658460.39,1.05955
15,E4_Gsr,1460658460.64,1.062112
16,E4_Gsr,1460658460.89,1.085166
17,E4_Gsr,1460658461.14,1.094131
18,E4_Gsr,1460658461.39,1.109501
19,E4_Gsr,1460658461.64,1.136398
20,E4_Gsr,1460658461.89,1.132555
21,E4_Gsr,1460658462.14,1.145363
22,E4_Gsr,1460658462.39,1.149206
23,E4_Gsr,1460658462.64,1.170979
24,E4_Gsr,1460658462.89,1.173541
25,E4_Gsr,1460658463.14,1.164575
26,E4_Gsr,1460658463.39,1.163294
27,E4_Gsr,1460658463.64,1.154329
28,E4_Gsr,1460658463.89,1.153048
29,E4_Gsr,1460658464.14,1.141521
30,E4_Gsr,1460658464.39,1.137678
31,E4_Gsr,1460658464.64,1.122309
32,E4_Gsr,1460658464.89,1.118466
33,E4_Gsr,1460658465.14,1.121028
34,E4_Gsr,1460658465.39,1.129994
35,E4_Gsr,1460658465.64,1.12359
36,E4_Gsr,1460658465.89,1.126151
37,E4_Gsr,1460658466.14,1.155609
38,E4_Gsr,1460658466.39,1.210683
39,E4_Gsr,1460658466.64,1.305462
40,E4_Gsr,1460658466.89,1.384871
41,E4_Gsr,1460658467.14,1.445068
42,E4_Gsr,1460658467.39,1.473246
43,E4_Gsr,1460658467.64,1.452852
44,E4_Gsr,1460658467.89,1.409305
45,E4_Gsr,1460658468.14,1.372162
46,E4_Gsr,1460658468.39,1.342704
47,E4_Gsr,1460658468.64,1.279945
48,E4_Gsr,1460658468.89,1.258172
49,E4_Gsr,1460658469.14,1.245364
50,E4_Gsr,1460658469.39,1.226152
51,E4_Gsr,1460658469.64,1.235118
52,E4_Gsr,1460658469.89,1.244083
53,E4_Gsr,1460658470.14,1.297876
54,E4_Gsr,1460658470.39,1.372162
55,E4_Gsr,1460658470.64,1.410586
56,E4_Gsr,1460658470.89,1.388813
57,E4_Gsr,1460658471.14,1.363197
58,E4_Gsr,1460658471.39,1.3363
59,E4_Gsr,1460658471.64,1.300438
60,E4_Gsr,1460658471.89,1.274822
61,E4_Gsr,1460658472.14,1.277384
62,E4_Gsr,1460658472.39,1.276103
63,E4_Gsr,1460658472.64,1.254329
64,E4_Gsr,1460658472.89,0.9097966
65,E4_Gsr,1460658473.14,0.9750179
66,E4_Gsr,1460658473.39,1.022407
67,E4_Gsr,1460658473.64,1.028811
68,E4_Gsr,1460658473.89,1.02753
69,E4_Gsr,1460658474.14,1.02625
70,E4_Gsr,1460658474.39,1.106939
71,E4_Gsr,1460658474.64,1.25423
72,E4_Gsr,1460658474.89,1.085166
73,E4_Gsr,1460658475.14,1.308024
74,E4_Gsr,1460658475.39,1.324674
75,E4_Gsr,1460658475.64,1.375906
76,E4_Gsr,1460658475.89,1.410487
77,E4_Gsr,1460658476.14,1.420733
78,E4_Gsr,1460658476.39,1.414329
79,E4_Gsr,1460658476.64,1.409206
80,E4_Gsr,1460658476.89,1.404083
81,E4_Gsr,1460658477.14,1.392556
82,E4_Gsr,1460658477.39,1.38231
83,E4_Gsr,1460658477.64,1.372063
84,E4_Gsr,1460658477.89,1.355413
85,E4_Gsr,1460658478.14,1.341324
86,E4_Gsr,1460658478.39,1.31827
87,E4_Gsr,1460658478.64,1.299058
88,E4_Gsr,1460658478.89,1.279846
89,E4_Gsr,1460658479.14,1.263196
90,E4_Gsr,1460658479.39,1.241423
91,E4_Gsr,1460658479.64,1.235018
92,E4_Gsr,1460658479.89,1.233738
93,E4_Gsr,1460658480.14,1.229895
94,E4_Gsr,1460658480.39,1.224772
95,E4_Gsr,1460658480.64,1.22093
96,E4_Gsr,1460658480.89,1.217088
97,E4_Gsr,1460658481.14,1.213245
98,E4_Gsr,1460658481.39,1.211964
99,E4_Gsr,1460658481.64,1.208122
100,E4_Gsr,1460658481.89,1.20556
101,E4_Gsr,1460658482.14,1.20556
102,E4_Gsr,1460658482.39,1.195314
103,E4_Gsr,1460658482.64,1.192752
104,E4_Gsr,1460658482.89,1.190191
105,E4_Gsr,1460658483.14,1.18891
106,E4_Gsr,1460658483.39,1.182506
107,E4_Gsr,1460658483.64,1.181225
108,E4_Gsr,1460658483.89,1.179945
109,E4_Gsr,1460658484.14,1.181225
110,E4_Gsr,1460658484.39,1.150486
111,E4_Gsr,1460658484.64,1.20556
112,E4_Gsr,1460658484.89,1.226053
113,E4_Gsr,1460658485.14,1.226053
114,E4_Gsr,1460658485.39,1.218368
115,E4_Gsr,1460658485.64,1.211964
116,E4_Gsr,1460658485.89,1.20428
117,E4_Gsr,1460658486.14,1.200437
118,E4_Gsr,1460658486.39,1.201718
119,E4_Gsr,1460658486.64,1.202999
120,E4_Gsr,1460658486.89,1.206841
121,E4_Gsr,1460658487.14,1.213245
122,E4_Gsr,1460658487.39,1.22093
123,E4_Gsr,1460658487.64,1.227334
124,E4_Gsr,1460658487.89,1.233738
125,E4_Gsr,1460658488.14,1.250388
126,E4_Gsr,1460658488.39,1.260634
127,E4_Gsr,1460658488.64,1.2696
128,E4_Gsr,1460658488.89,1.2696
129,E4_Gsr,1460658489.14,1.264477
130,E4_Gsr,1460658489.39,1.259354
131,E4_Gsr,1460658489.64,1.251669
132,E4_Gsr,1460658489.89,1.236299
133,E4_Gsr,1460658490.14,1.228615
134,E4_Gsr,1460658490.39,1.22093
135,E4_Gsr,1460658490.64,1.215807
136,E4_Gsr,1460658490.89,1.210683
137,E4_Gsr,1460658491.14,1.201718
138,E4_Gsr,1460658491.39,1.195314
139,E4_Gsr,1460658491.64,1.192752
140,E4_Gsr,1460658491.89,1.194033
141,E4_Gsr,1460658492.14,1.201718
142,E4_Gsr,1460658492.39,1.217088
143,E4_Gsr,1460658492.64,1.243984
144,E4_Gsr,1460658492.89,1.279846
145,E4_Gsr,1460658493.14,1.327235
146,E4_Gsr,1460658493.39,1.315708
147,E4_Gsr,1460658493.64,1.328516
148,E4_Gsr,1460658493.89,1.340043
149,E4_Gsr,1460658494.14,1.336201
150,E4_Gsr,1460658494.39,1.3029
151,E4_Gsr,1460658494.64,1.290093
152,E4_Gsr,1460658494.89,1.296497
153,E4_Gsr,1460658495.14,1.287531
154,E4_Gsr,1460658495.39,1.278565
155,E4_Gsr,1460658495.64,1.270881
156,E4_Gsr,1460658495.89,1.265758
157,E4_Gsr,1460658496.14,1.258073
158,E4_Gsr,1460658496.39,1.227334
159,E4_Gsr,1460658496.64,1.223491
160,E4_Gsr,1460658496.89,1E4_Gsr
161,.211964,,
162,E4_Gsr,1460658497.39,1.060831
163,E4_Gsr,1460658497.64,1.162013
164,E4_Gsr,1460658497.89,1.185068
165,E4_Gsr,1460658498.14,1.190191
166,E4_Gsr,1460658498.39,1.182506
167,E4_Gsr,1460658498.64,1.173541
168,E4_Gsr,1460658498.89,1.170979
169,E4_Gsr,1460658499.14,1.168417
170,E4_Gsr,1460658499.39,1.167137
171,E4_Gsr,1460658499.64,1.169698
172,E4_Gsr,1460658499.89,1.168417
173,E4_Gsr,1460658500.14,1.169698
174,E4_Gsr,1460658500.39,1.174821
175,E4_Gsr,1460658500.64,1.174821
176,E4_Gsr,1460658500.89,1.187629
177,E4_Gsr,1460658501.14,1.196595
178,E4_Gsr,1460658501.39,1.206841
179,E4_Gsr,1460658501.64,1.223491
180,E4_Gsr,1460658501.89,1.238861
181,E4_Gsr,1460658502.14,1.251669
182,E4_Gsr,1460658502.39,1.258073
183,E4_Gsr,1460658502.64,1.25295
184,E4_Gsr,1460658502.89,1.247826
185,E4_Gsr,1460658503.14,1.249107
186,E4_Gsr,1460658503.39,1.241423
187,E4_Gsr,1460658503.64,1.229895
188,E4_Gsr,1460658503.89,1.210683
189,E4_Gsr,1460658504.14,1.200437
190,E4_Gsr,1460658504.39,1.187629
191,E4_Gsr,1460658504.64,1.185068
192,E4_Gsr,1460658504.89,1.186348
193,E4_Gsr,1460658505.14,1.195314
194,E4_Gsr,1460658505.39,1.210683
195,E4_Gsr,1460658505.64,1.226053
196,E4_Gsr,1460658505.89,1.240142
197,E4_Gsr,1460658506.14,1.25295
198,E4_Gsr,1460658506.39,1.260634
199,E4_Gsr,1460658506.64,1.260634
200,E4_Gsr,1460658506.89,1.251669
201,E4_Gsr,1460658507.14,1.238861
202,E4_Gsr,1460658507.39,1.229895
203,E4_Gsr,1460658507.64,1.215807
204,E4_Gsr,1460658507.89,1.206841
205,E4_Gsr,1460658508.14,1.202999
206,E4_Gsr,1460658508.39,1.192752
207,E4_Gsr,1460658508.64,1.183787
208,E4_Gsr,1460658508.89,1.17226
209,E4_Gsr,1460658509.14,1.151767
210,E4_Gsr,1460658509.39,1.132555
211,E4_Gsr,1460658509.64,1.147925
212,E4_Gsr,1460658509.89,1.163294
213,E4_Gsr,1460658510.14,1.165856
214,E4_Gsr,1460658510.39,1.15689
215,E4_Gsr,1460658510.64,1.160733
216,E4_Gsr,1460658510.89,1.160733
217,E4_Gsr,1460658511.14,1.165856
218,E4_Gsr,1460658511.39,1.164575
219,E4_Gsr,1460658511.64,1.169698
220,E4_Gsr,1460658511.89,1.154329
221,E4_Gsr,1460658512.14,1.141521
222,E4_Gsr,1460658512.39,1.137678
223,E4_Gsr,1460658512.64,1.135117
224,E4_Gsr,1460658512.89,1.126151
225,E4_Gsr,1460658513.14,1.12359
226,E4_Gsr,1460658513.39,1.112063
227,E4_Gsr,1460658513.64,1.103097
228,E4_Gsr,1460658513.89,1.09157
229,E4_Gsr,1460658514.14,1.089008
230,E4_Gsr,1460658514.39,1.086447
231,E4_Gsr,1460658514.64,1.080043
232,E4_Gsr,1460658514.89,1.071077
233,E4_Gsr,1460658515.14,1.065954
234,E4_Gsr,1460658515.39,1.080043
235,E4_Gsr,1460658515.64,1.087728
236,E4_Gsr,1460658515.89,1.104378
237,E4_Gsr,1460658516.14,1.12359
238,E4_Gsr,1460658516.39,1.127432
239,E4_Gsr,1460658516.64,1.135117
240,E4_Gsr,1460658516.89,1.144082
241,E4_Gsr,1460658517.14,1.149206
242,E4_Gsr,1460658517.39,1.149206
243,E4_Gsr,1460658517.64,1.135117
244,E4_Gsr,1460658517.89,1.109501
245,E4_Gsr,1460658518.14,1.085166
246,E4_Gsr,1460658518.39,1.073639
247,E4_Gsr,1460658518.64,1.073639
248,E4_Gsr,1460658518.89,1.0762
249,E4_Gsr,1460658519.14,1.083885
250,E4_Gsr,1460658519.39,1.082604
251,E4_Gsr,1460658519.64,1.081324
